Stadium_id,Stadium,Capacity,Region,Country,City,Home_teams,State_or_Province
1,Rungrado 1st of May Stadium ,1140001,East Asia,North Korea,Pyongyang,"Korea DPR national football team, Korea DPR women's national football team, April 25",Unknown
2,Michigan Stadium,1076012,North America,United States,Ann Arbor,Michigan Wolverines football, Michigan
3,Ohio Stadium,1027803,North America,United States,Columbus,Ohio State Buckeyes football, Ohio
4,Melbourne Cricket Ground ,1000244,Oceania,Australia,Melbourne,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC", Victoria
5,Camp Nou ,993545,Europe,Spain,Barcelona,FC Barcelona, Catalonia
6,Estadio Azteca ,955006,North America,Mexico,Mexico City,"Club América, Cruz Azul, Mexico national football team",Unknown
7,FNB Stadium ,947367,Africa,South Africa,Johannesburg,"South Africa national football team, Kaizer Chiefs", Gauteng
8,New Administrative Capital Stadium ,939408,Africa,Egypt,New Administrative Capital,Egypt national football team,Unknown
9,Rose Bowl Stadium,928009,North America,United States,Pasadena,UCLA Bruins, California
10,Cotton Bowl Stadium,9210010,North America,United States,Dallas,Dallas Trinity FC, Texas
11,Wembley Stadium ,9000011,Europe,England,London,England national football team, England
12,Lusail Stadium ,8896612,West Asia,Qatar,Lusail,Qatar national football team,Unknown
13,Bukit Jalil National Stadium ,87411,Southeast Asia,Malaysia,Kuala Lumpur,Malaysia national football team13,Unknown
14,Borg el-Arab Stadium,8600014,Africa,Egypt,Alexandria,"Egypt national football team, Al Ittihad, Smouha",Unknown
15,Estadio Santiago Bernabéu,8500015,Europe,Spain,Madrid,Real Madrid,Unknown
16,Estadio Mâs Monumental ,84567,South America,Argentina,Buenos Aires,"Argentina national football team, River Plate",Unknown
17,Stadium Australia,83500,Oceania,Australia,Sydney,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team", New South Wales
18,MetLife Stadium,82500,North America,United States,East Rutherford,"New York Giants, New York Jets, United States men's national soccer team", New Jersey
19,Croke Park ,8230016,Europe,Ireland,Dublin,"Gaelic Athletic Association, Dublin GAA",Unknown
20,Jakarta International Stadium ,82000,Southeast Asia,Indonesia,Jakarta,"Persija Jakarta, Indonesia national football team",Unknown
21,Lambeau Field,8144117,North America,United States,Green Bay,Green Bay Packers, Wisconsin
22,Signal Iduna Park ,81365,Europe,Germany,Dortmund,Borussia Dortmund,Unknown
23,Stade de France ,8133818,Europe,France,Saint-Denis,France national football team,Unknown
24,Grand Sports Arena of the Luzhniki Olympic Complex ,81000,Europe,Russia,Moscow,,Unknown
25,Shah Alam Stadium,80372,Southeast Asia,Malaysia,Shah Alam,Selangor FA, Selangor
26,Estadio Monumental ,80093,South America,Peru,Lima,Club Universitario de Deportes,Unknown
27,Stadio Giuseppe Meazza ,80018,Europe,Italy,Milan,AC Milan and Internazionale, Lombardy
28,Guangdong Olympic Stadium ,80012,East Asia,China,Guangzhou,, Guangdong
29,Hangzhou Olympic Sports Expo Centre Stadium,80000,East Asia,China,Hangzhou,, Zhejiang
30,ATT Stadium ,8000019,North America,United States,Arlington,"Dallas Cowboys, FC Dallas", Texas
31,Stade des Martyrs ,80000,Africa,DR Congo,Kinshasa,Congo DR national football team,Unknown
32,Stade Tata Raphaël ,80000,Africa,DR Congo,Kinshasa,"AS Vita Club, DC Motema Pembe",Unknown
33,National Sports Stadium ,80000,Africa,Zimbabwe,Harare,Zimbabwe national football team,Unknown
34,Moi International Sports Centre ,80000,Africa,Kenya,Nairobi,Kenya national football team,Unknown
35,Beijing National Stadium,8000020,East Asia,China,Beijing,,Unknown
36,Stade Léopold Sédar Senghor ,80000,Africa,Senegal,Dakar,"Senegal national football team, ASC Jeanne d'Arc",Unknown
37,Maracanã ,788382122,South America,Brazil,Rio de Janeiro,"CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama", Rio de Janeiro
38,Los Angeles Memorial Coliseum,78467,North America,United States,Los Angeles,USC Trojans, California
39,Azadi Stadium ,781162324,West Asia,Iran,Tehran,"Iran national football team, Esteghlal FC, Persepolis FC",Unknown
40,Stadion Utama Gelora Bung Karno,7719325,Southeast Asia,Indonesia,Jakarta,"Indonesia national football team,",Unknown
41,Caesar's Superdome,7646826,North America,United States,New Orleans,"New Orleans Saints, Sugar Bowl", Louisiana
42,Arrowhead Stadium,7641227,North America,United States,Kansas City,Kansas City Chiefs, Missouri
43,Empower Field,7612528,North America,United States,Denver,Denver Broncos,Unknown
44,Atatürk Olimpiyat Stadyumu ,7609229,Europe,Turkey,Istanbul,,Unknown
