stadium_id,stadium,capacity,continent,country,city,home_teams
1,Rungrado 1st of May Stadium ,1140001,Asia,North Korea,Pyongyang,"Korea DPR national football team, Korea DPR women's national football team, April 25"
2,Michigan Stadium,1076012,North America,United States,"Ann Arbor, Michigan",Michigan Wolverines football
3,Ohio Stadium,1027803,North America,United States,"Columbus, Ohio",Ohio State Buckeyes football
4,Melbourne Cricket Ground ,1000244,Oceania,Australia,"Melbourne, Victoria","Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC"
5,Camp Nou ,993545,Europe,Spain,"Barcelona, Catalonia",FC Barcelona
6,Estadio Azteca ,955006,North America,Mexico,Mexico City,"Club América, Cruz Azul, Mexico national football team"
7,FNB Stadium ,947367,Africa,South Africa,"Johannesburg, Gauteng","South Africa national football team, Kaizer Chiefs"
8,New Administrative Capital Stadium ,939408,Africa,Egypt,New Administrative Capital,Egypt national football team
9,Rose Bowl Stadium,928009,North America,United States,"Pasadena, California",UCLA Bruins
10,Cotton Bowl Stadium,9210010,North America,United States,"Dallas, Texas",Dallas Trinity FC
11,Wembley Stadium ,9000011,Europe,England,"London, England",England national football team
12,Lusail Stadium ,8896612,Asia,Qatar,Lusail,Qatar national football team
13,Bukit Jalil National Stadium ,87411,Asia,Malaysia,Kuala Lumpur,Malaysia national football team13
14,Borg el-Arab Stadium,8600014,Africa,Egypt,Alexandria,"Egypt national football team, Al Ittihad, Smouha"
15,Estadio Santiago Bernabéu,8500015,Europe,Spain,Madrid,Real Madrid
16,Estadio Mâs Monumental ,84567,South America,Argentina,Buenos Aires,"Argentina national football team, River Plate"
17,Stadium Australia,83500,Oceania,Australia,"Sydney, New South Wales","South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team"
18,MetLife Stadium,82500,North America,United States,"East Rutherford, New Jersey","New York Giants, New York Jets, United States men's national soccer team"
19,Croke Park ,8230016,Europe,Ireland,Dublin,"Gaelic Athletic Association, Dublin GAA"
20,Jakarta International Stadium ,82000,Asia,Indonesia,Jakarta,"Persija Jakarta, Indonesia national football team"
21,Lambeau Field,8144117,North America,United States,"Green Bay, Wisconsin",Green Bay Packers
22,Signal Iduna Park ,81365,Europe,Germany,Dortmund,Borussia Dortmund
23,Stade de France ,8133818,Europe,France,Saint-Denis,France national football team
24,Grand Sports Arena of the Luzhniki Olympic Complex ,81000,Europe,Russia,Moscow,
25,Shah Alam Stadium,80372,Asia,Malaysia,"Shah Alam, Selangor",Selangor FA
26,Estadio Monumental ,80093,South America,Peru,Lima,Club Universitario de Deportes
27,Stadio Giuseppe Meazza ,80018,Europe,Italy,"Milan, Lombardy",AC Milan and Internazionale
28,Guangdong Olympic Stadium ,80012,Asia,China,"Guangzhou, Guangdong",
29,Hangzhou Olympic Sports Expo Centre Stadium,80000,Asia,China,"Hangzhou, Zhejiang",
30,ATT Stadium ,8000019,North America,United States,"Arlington, Texas","Dallas Cowboys, FC Dallas"
31,Stade des Martyrs ,80000,Africa,DR Congo,Kinshasa,Congo DR national football team
32,Stade Tata Raphaël ,80000,Africa,DR Congo,Kinshasa,"AS Vita Club, DC Motema Pembe"
33,National Sports Stadium ,80000,Africa,Zimbabwe,Harare,Zimbabwe national football team
34,Moi International Sports Centre ,80000,Africa,Kenya,Nairobi,Kenya national football team
35,Beijing National Stadium,8000020,Asia,China,Beijing,
36,Stade Léopold Sédar Senghor ,80000,Africa,Senegal,Dakar,"Senegal national football team, ASC Jeanne d'Arc"
37,Maracanã ,788382122,South America,Brazil,"Rio de Janeiro, Rio de Janeiro","CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama"
38,Los Angeles Memorial Coliseum,78467,North America,United States,"Los Angeles, California",USC Trojans
39,Azadi Stadium ,781162324,Asia,Iran,Tehran,"Iran national football team, Esteghlal FC, Persepolis FC"
40,Stadion Utama Gelora Bung Karno,7719325,Asia,Indonesia,Jakarta,"Indonesia national football team,"
41,Caesar's Superdome,7646826,North America,United States,"New Orleans, Louisiana","New Orleans Saints, Sugar Bowl"
42,Arrowhead Stadium,7641227,North America,United States,"Kansas City, Missouri",Kansas City Chiefs
43,Empower Field,7612528,North America,United States,Denver,Denver Broncos
44,Atatürk Olimpiyat Stadyumu ,7609229,Europe,Turkey,Istanbul,
45,Old Trafford,76000,Europe,England,"Manchester, North West England",Manchester United
46,Allianz Arena,7502430,Europe,Germany,Munich,FC Bayern Munich
47,Naghsh-e-Jahan Stadium,75000,Asia,Iran,Isfahan,Sepahan FC
48,Bank of America Stadium,74867,North America,United States,"Charlotte, North Carolina","Charlotte FC, Carolina Panthers"
49,Principality Stadium ,74500,Europe,Wales,Cardiff,Wales national rugby union team
50,Olympiastadion,74475,Europe,Germany,Berlin,Hertha BSC
51,Cairo International Stadium,74100,Africa,Egypt,Cairo,"Egypt national football team, Al Ahly, Zamalek"
52,FirstEnergy Stadium,7320031,North America,United States,Cleveland,Cleveland Browns
53,Estádio Nacional Mané Garrincha,72788,South America,Brazil,"Brasília, Distrito Federal","Brasília FC, Legião FC"
54,Stadio Olimpico,72698,Europe,Italy,"Rome, Lazio","AS Roma, Lazio"
55,Nissan Stadium ,7232732,Asia,Japan,"Yokohama, Kanagawa","Yokohama F Marinos, Yokohama Eagles"
56,NRG Stadium,72220,North America,United States,"Houston, Texas","Houston Texans, Houston Dynamo FC"
57,Shanghai Stadium,72000,Asia,China,Shanghai,Shanghai Shenhua
58,MT Bank Stadium,7100833,North America,United States,Baltimore,Baltimore Ravens
59,Mercedes-Benz Stadium,71000,North America,United States,"Atlanta, Georgia","Atlanta United FC, Atlanta Falcons"
60,Riyadh Air Metropolitano,70692,Europe,Spain,Madrid,Atlético de Madrid
61,Olympic National Sports Complex Stadium ,7000034,Europe,Ukraine,Kyiv,"Ukraine national football team, FC Dynamo Kyiv"
62,SoFi Stadium,70000,North America,United States,"Inglewood, California",
63,Seoul Olympic Stadium ,69950,Asia,South Korea,Seoul,
64,Bakı Olimpiya stadionu ,69870,Asia,Azerbaijan,Baku,Azerbaijan national football team
65,Olympic Stadium ,69618,Europe,Greece,"Marousi, Attica",Greece national football team
66,Olympiastadion München,69250,Europe,Germany,Munich,
67,Lumen Field,69000,North America,United States,"Seattle, Washington","Seattle Sounders FC, Seattle Seahawks"
68,Estadio Olímpico Universitario,68954,North America,Mexico,Mexico City,UNAM Pumas
69,Gillette Stadium,68756,North America,United States,"Foxborough, Massachusetts","New England Patriots, New England Revolution"
70,King Abdullah Sports City Stadium ,68560,Asia,Saudi Arabia,Jeddah,"Saudi Arabia national football team, Al-Ahli Saudi FC, Al-Ittihad Saudi Club"
71,Lincoln Financial Field,68532,North America,United States,Philadelphia,"Philadelphia Eagles, Temple Owls football"
72,Levi's Stadium,68500,North America,United States,"Santa Clara, California",San Francisco 49ers
73,Acrisure Stadium,6840035,North America,United States,Pittsburgh,"Pittsburgh Steelers, Pittsburgh Panthers football"
74,Gazprom Arena,68134,Europe,Russia,Saint Petersburg,FC Zenit Saint Petersburg
75,Salt Lake Stadium ,680003637,Asia,India,Kolkata,"India national football team, Mohun Bagan Super Giant, East Bengal FC, Mohammedan SC"
76,National Stadium,68000,Asia,Japan,Tokyo,
77,TIAA Bank Field,6781438,North America,United States,"Jacksonville, Florida",Jacksonville Jaguars
78,Orange Vélodrome,67394,Europe,France,Marseille,Olympique de Marseille
79,Puskás Aréna ,67215,Europe,Hungary,Budapest,Hungary national football team
80,Scottish Gas Murrayfield Stadium,67144,Europe,Scotland,Edinburgh,Scotland national rugby union team
81,Lucas Oil Stadium,67000,North America,United States,"Indianapolis, Indiana",Indianapolis Colts
82,MorumBIS,66975,South America,Brazil,"São Paulo, São Paulo",São Paulo FC
83,The Dome,66965,North America,United States,St Louis,St Louis BattleHawks
84,Yadegar-e-Emam Stadium,66833,Asia,Iran,Tabriz,Tractor Sazi FC
85,Seoul World Cup Stadium,66704,Asia,South Korea,Seoul,FC Seoul
86,US Bank Stadium,66655,North America,United States,Minneapolis,Minnesota Vikings
87,Daegu Stadium,66422,Asia,South Korea,Daegu,Daegu FC
88,Workers' Stadium,66161,Asia,China,Beijing,"Beijing Guoan, China national football team"
89,London Stadium,66000,Europe,England,London,West Ham United
90,Raymond James Stadium,65847,North America,United States,"Tampa, Florida","Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers"
91,Hard Rock Stadium,6532639,North America,United States,"Miami Gardens, Florida","Miami Dolphins, Miami Hurricanes football"
92,Olympic Stadium ,65255,North America,Canada,"Montreal, Quebec",CF Montréal
93,Basra International Stadium ,65227,Asia,Iraq,Basra,Iraq national football team
94,Camping World Stadium,65000,North America,United States,"Orlando, Florida",
95,Alamodome,65000,North America,United States,San Antonio,UTSA Roadrunners football
96,Ford Field,65000,North America,United States,Detroit,Detroit Lions
97,Stade Ibn Battuta,65000,Africa,Morocco,Tangier,IR Tanger
98,Estádio do Sport Lisboa e Benfica ,64642,Europe,Portugal,Lisbon,Benfica
99,Stade du 5-juillet-1962 ,6400040,Africa,Algeria,Algiers,Algeria national football team
100,Castelão,63903,South America,Brazil,"Fortaleza, Ceará","Ceará SC, Fortaleza EC"
101,Saitama Stadium 2002,6370041,Asia,Japan,Saitama,"Urawa Red Diamonds, Saitama Wild Knights"
102,Ellis Park Stadium,62567,Africa,South Africa,"Johannesburg, Gauteng","Orlando Pirates FC, Emirates Johannesburg Lions"
103,Tottenham Hotspur Stadium,6230342,Europe,England,London,Tottenham Hotspur
104,VELTINS-Arena,62271,Europe,Germany,Gelsenkirchen,FC Schalke 04
105,Yizhong Sports Centre Stadium,62000,Asia,China,"Qingdao, Shandong",Qingdao Jonoon FC
106,Estádio Governador Magalhães Pinto,6184643,South America,Brazil,"Belo Horizonte, Minas Gerais","Atlético Mineiro, Cruzeiro EC"
107,King Fahd International Stadium,61781,Asia,Saudi Arabia,Riyadh,"Saudi Arabia national football team, Al-Hilal, Al-Nassr, Al-Shabab"
108,Soldier Field,61500,North America,United States,Chicago,Chicago Bears
109,Nanjing Olympic Sports Centre Stadium,61443,Asia,China,"Nanjing, Jiangsu",
110,Anfield,6127644,Europe,England,"Liverpool, England",Liverpool FC
111,Estadio Benito Villamarín,60720,Europe,Spain,Seville,Real Betis
112,Abuja Stadium ,60491,Africa,Nigeria,Abuja,Nigeria national football team
113,MHPArena,60469,Europe,Germany,Stuttgart,VfB Stuttgart
114,Celtic Park ,6041145,Europe,Scotland,Glasgow,Celtic FC
115,Estadio de la UNSA,60370,South America,Peru,Arequipa,FBC Melgar
116,Emirates Stadium,6033846,Europe,England,London,Arsenal
117,Shenzhen Universiade Sports Centre Stadium,60334,Asia,China,"Shenzhen, Guangdong",
118,Estadio Centenario ,60235,South America,Uruguay,Montevideo,Uruguay national football team
119,Estádio José do Rego Maciel,60044,South America,Brazil,"Recife, Pernambuco",Santa Cruz FC
120,Al-Bayt Stadium,60000,Asia,Qatar,Al-Khor,
121,Benjamin Mkapa National Stadium ,60000,Africa,Tanzania,Dar es-Salaam,"Tanzania national football team, Young Africans"
122,Hefei Olympic Sports Centre Stadium,60000,Asia,China,"Hefei, Anhui",Anhui Jiufang
123,Jaber al-Ahmad International Stadium ,60000,Asia,Kuwait,Kuwait City,Kuwait national football team
124,Hammadi Agrebi Stadium ,60000,Africa,Tunisia,Tunis,Tunisia national football team
